Date,Deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,6
2020-03-03,7
2020-03-04,11
2020-03-05,12
2020-03-06,14
2020-03-07,17
2020-03-08,21
2020-03-09,22
2020-03-10,28
2020-03-11,33
2020-03-12,43
2020-03-13,51
2020-03-14,58
2020-03-15,70
2020-03-16,97
2020-03-17,132
2020-03-18,191
2020-03-19,265
2020-03-20,364
2020-03-21,463
2020-03-22,573
2020-03-23,762
2020-03-24,1001
2020-03-25,1325
2020-03-26,1733
2020-03-27,2253
2020-03-28,2886
2020-03-29,3472
2020-03-30,4164
2020-03-31,5249
2020-04-01,6421
2020-04-02,7924
2020-04-03,9316
2020-04-04,10839
2020-04-05,12429
2020-04-06,14199
2020-04-07,16770
2020-04-08,18916
2020-04-09,21144
2020-04-10,23362
2020-04-11,25481
2020-04-12,27294
2020-04-13,29240
2020-04-14,31695
2020-04-15,34304
2020-04-16,36480
2020-04-17,38573
2020-04-18,40533
2020-04-19,42464
2020-04-20,44650
2020-04-21,47198
2020-04-22,49632
2020-04-23,52101
2020-04-24,54255
2020-04-25,55953
2020-04-26,57282
2020-04-27,58748
2020-04-28,60989
2020-04-29,63510
2020-04-30,65832
2020-05-01,67723
2020-05-02,69415
2020-05-03,70535
2020-05-04,71868
2020-05-05,74186
2020-05-06,76550
2020-05-07,78484
2020-05-08,80231
2020-05-09,81719
2020-05-10,82612
2020-05-11,83626
2020-05-12,85253
2020-05-13,87017
2020-05-14,88800
2020-05-15,90481
2020-05-16,91697
2020-05-17,92455
2020-05-18,93627
2020-05-19,95179
2020-05-20,96705
2020-05-21,97922
2020-05-22,99166
2020-05-23,100275
2020-05-24,100897
2020-05-25,101445
2020-05-26,102107
2020-05-27,103625
2020-05-28,104803
2020-05-29,105963
2020-05-30,106926
2020-05-31,107507
2020-06-01,108283
2020-06-02,109351
2020-06-03,110358
2020-06-04,111381
2020-06-05,112295
2020-06-06,112954
2020-06-07,113392
2020-06-08,113911
2020-06-09,114861
2020-06-10,115762
2020-06-11,116633
2020-06-12,117461
2020-06-13,118220
2020-06-14,118528
2020-06-15,118922
2020-06-16,119760
2020-06-17,120504
2020-06-18,121222
2020-06-19,121892
2020-06-20,122496
2020-06-21,122781
2020-06-22,123170
2020-06-23,124017
2020-06-24,124776
2020-06-25,125327
2020-06-26,125944
2020-06-27,126448
2020-06-28,126721
2020-06-29,127098
2020-06-30,127723
2020-07-01,128417
2020-07-02,129144
2020-07-03,129804
2020-07-04,130069
2020-07-05,130357
2020-07-06,130712
2020-07-07,131934
2020-07-08,132797
2020-07-09,133800
2020-07-10,134624
2020-07-11,135314
2020-07-12,135773
2020-07-13,136140
2020-07-14,137066
2020-07-15,138034
2020-07-16,138977
2020-07-17,139907
2020-07-18,140775
2020-07-19,141222
2020-07-20,141736
2020-07-21,142843
2020-07-22,144059
2020-07-23,145153
2020-07-24,146285
2020-07-25,147184
2020-07-26,147656
2020-07-27,148776
2020-07-28,150150
2020-07-29,151582
2020-07-30,152791
2020-07-31,154034
2020-08-01,155149
2020-08-02,155552
2020-08-03,156082
2020-08-04,157460
2020-08-05,158836
2020-08-06,160089
2020-08-07,161331
2020-08-08,162408
2020-08-09,162919
2020-08-10,163446
2020-08-11,164510
2020-08-12,166015
2020-08-13,167085
2020-08-14,168423
2020-08-15,169457
2020-08-16,170028
2020-08-17,170474
2020-08-18,171799
2020-08-19,173152
2020-08-20,174231
2020-08-21,175336
2020-08-22,176318
2020-08-23,176768
2020-08-24,177210
2020-08-25,178449
2020-08-26,179674
2020-08-27,180785
2020-08-28,181756
2020-08-29,182714
2020-08-30,183024
2020-08-31,183597
2020-09-01,184664
2020-09-02,185720
2020-09-03,186790
2020-09-04,187755
2020-09-05,188538
2020-09-06,188941
2020-09-07,189208
2020-09-08,189653
2020-09-09,190859
2020-09-10,191766
2020-09-11,192979
2020-09-12,193693
2020-09-13,194071
2020-09-14,194493
2020-09-15,195781
2020-09-16,196763
2020-09-17,197633
2020-09-18,198570
2020-09-19,199282
2020-09-20,199509
2020-09-21,199865
2020-09-22,200786
2020-09-23,201884
