datetime,Deaths
2020-01-22,17
2020-01-23,18
2020-01-24,26
2020-01-25,42
2020-01-26,56
2020-01-27,82
2020-01-28,131
2020-01-29,133
2020-01-30,171
2020-01-31,213
2020-02-01,259
2020-02-02,362
2020-02-03,426
2020-02-04,492
2020-02-05,564
2020-02-06,634
2020-02-07,719
2020-02-08,806
2020-02-09,906
2020-02-10,1013
2020-02-11,1113
2020-02-12,1118
2020-02-13,1371
2020-02-14,1523
2020-02-15,1666
2020-02-16,1770
2020-02-17,1868
2020-02-18,2008
2020-02-19,2123
2020-02-20,2248
2020-02-21,2252
2020-02-22,2459
2020-02-23,2470
2020-02-24,2630
2020-02-25,2710
2020-02-26,2771
2020-02-27,2814
2020-02-28,2873
2020-02-29,2942
2020-03-01,2996
2020-03-02,3085
2020-03-03,3160
2020-03-04,3255
2020-03-05,3348
2020-03-06,3460
2020-03-07,3559
2020-03-08,3803
2020-03-09,3987
2020-03-10,4267
2020-03-11,4611
2020-03-12,4917
2020-03-13,5414
2020-03-14,5834
2020-03-15,6475
2020-03-16,7153
2020-03-17,7964
2020-03-18,8867
2020-03-19,9981
2020-03-20,11460
2020-03-21,13180
2020-03-22,14854
2020-03-23,16797
2020-03-24,19079
2020-03-25,21877
2020-03-26,24893
2020-03-27,28388
2020-03-28,32102
2020-03-29,35572
2020-03-30,39620
2020-03-31,44365
2020-04-01,49863
2020-04-02,56101
2020-04-03,62205
2020-04-04,68351
2020-04-05,73540
2020-04-06,79481
2020-04-07,87712
2020-04-08,94464
2020-04-09,102237
2020-04-10,109629
2020-04-11,115854
2020-04-12,121671
2020-04-13,127587
2020-04-14,134567
2020-04-15,142918
2020-04-16,150221
2020-04-17,158588
2020-04-18,164601
2020-04-19,169862
2020-04-20,175726
2020-04-21,182917
2020-04-22,189644
2020-04-23,196485
2020-04-24,203142
2020-04-25,208774
2020-04-26,212708
2020-04-27,217382
2020-04-28,223929
2020-04-29,230657
2020-04-30,236559
2020-05-01,241722
2020-05-02,247205
2020-05-03,250694
2020-05-04,254808
2020-05-05,260714
2020-05-06,267277
2020-05-07,272579
2020-05-08,278054
2020-05-09,282287
2020-05-10,285874
2020-05-11,289354
2020-05-12,294889
2020-05-13,299981
2020-05-14,305171
2020-05-15,310304
2020-05-16,314424
2020-05-17,317712
2020-05-18,321412
2020-05-19,326158
2020-05-20,330926
2020-05-21,335657
2020-05-22,340851
2020-05-23,344742
2020-05-24,347870
2020-05-25,349062
2020-05-26,353180
2020-05-27,358326
2020-05-28,362944
2020-05-29,367536
2020-05-30,371610
2020-05-31,374478
2020-06-01,377554
2020-06-02,382296
2020-06-03,387745
2020-06-04,392879
2020-06-05,397453
2020-06-06,401265
2020-06-07,404006
2020-06-08,407707
2020-06-09,412562
2020-06-10,417623
2020-06-11,422322
2020-06-12,426545
2020-06-13,430722
2020-06-14,434129
2020-06-15,437559
2020-06-16,444294
2020-06-17,449396
2020-06-18,454386
2020-06-19,460545
2020-06-20,464746
2020-06-21,468747
2020-06-22,472311
2020-06-23,477539
2020-06-24,482712
2020-06-25,487411
2020-06-26,492109
2020-06-27,496574
2020-06-28,499712
2020-06-29,503435
2020-06-30,508361
2020-07-01,513291
2020-07-02,518361
2020-07-03,523297
2020-07-04,527661
2020-07-05,531133
2020-07-06,534954
2020-07-07,540984
2020-07-08,546257
2020-07-09,551670
2020-07-10,556965
2020-07-11,561750
2020-07-12,565740
2020-07-13,569553
2020-07-14,575148
2020-07-15,580582
2020-07-16,586332
2020-07-17,592988
2020-07-18,598609
2020-07-19,602661
2020-07-20,606829
2020-07-21,612998
2020-07-22,619920
2020-07-23,629817
2020-07-24,635852
2020-07-25,641398
2020-07-26,645058
2020-07-27,650233
2020-07-28,656545
2020-07-29,663118
2020-07-30,669124
2020-07-31,675313
2020-08-01,680796
2020-08-02,685087
2020-08-03,689402
2020-08-04,696350
2020-08-05,703302
2020-08-06,709787
2020-08-07,716089
2020-08-08,721499
2020-08-09,726039
2020-08-10,730973
2020-08-11,737391
2020-08-12,743999
2020-08-13,750232
2020-08-14,760366
2020-08-15,765715
2020-08-16,769903
2020-08-17,774036
2020-08-18,780909
2020-08-19,787659
2020-08-20,793684
2020-08-21,799224
2020-08-22,804787
2020-08-23,808648
2020-08-24,812998
2020-08-25,819396
2020-08-26,825680
2020-08-27,831566
2020-08-28,837080
2020-08-29,842452
2020-08-30,846353
2020-08-31,850535
2020-09-01,857015
2020-09-02,863028
2020-09-03,868733
2020-09-04,874639
2020-09-05,879577
2020-09-06,883339
2020-09-07,892646
2020-09-08,897383
2020-09-09,903686
2020-09-10,909479
2020-09-11,915356
2020-09-12,920231
2020-09-13,923873
2020-09-14,928303
2020-09-15,934852
2020-09-16,940605
2020-09-17,946061
2020-09-18,951767
2020-09-19,956999
2020-09-20,960695
2020-09-21,964746
2020-09-22,969541
2020-09-23,975104
