,State,Confirmed,Deaths
0,Alabama,147153,2488
1,Alaska,7004,45
2,American Samoa,0,0
3,Arizona,215284,5525
4,Arkansas,77963,1229
5,California,796436,15291
6,Colorado,66649,2030
7,Connecticut,56315,4497
8,Delaware,19830,629
9,Diamond Princess,49,0
10,District of Columbia,15050,621
11,Florida,690499,13618
12,Georgia,310161,6769
13,Grand Princess,103,3
14,Guam,2235,37
15,Hawaii,11689,122
16,Idaho,38743,454
17,Illinois,281303,8744
18,Indiana,113337,3530
19,Iowa,82871,1298
20,Kansas,54846,620
21,Kentucky,63515,1124
22,Louisiana,162645,5407
23,Maine,5170,140
24,Maryland,121297,3902
25,Massachusetts,128512,9347
26,Michigan,131259,7013
27,Minnesota,92100,2037
28,Mississippi,94573,2870
29,Missouri,118205,1938
30,Montana,10912,165
31,Nebraska,42278,462
32,Nevada,76807,1556
33,New Hampshire,8007,438
34,New Jersey,200988,16082
35,New Mexico,27987,857
36,New York,451892,33090
37,North Carolina,196500,3316
38,North Dakota,18981,203
39,Northern Mariana Islands,69,2
40,Ohio,146753,4687
41,Oklahoma,80161,970
42,Oregon,31503,538
43,Pennsylvania,157336,8038
44,Puerto Rico,42660,617
45,Rhode Island,24177,1102
46,South Carolina,141686,3262
47,South Dakota,19634,202
48,Tennessee,186798,2277
49,Texas,742913,15372
50,Utah,65921,444
51,Vermont,1722,58
52,Virgin Islands,1290,19
53,Virginia,142459,3087
54,Washington,83702,2081
55,West Virginia,14515,322
56,Wisconsin,105932,1259
57,Wyoming,5169,50
