State,,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85 years and over,Under 1 year
Alabama,0,0.0,,,21.0,68.0,0.0,140.0,244.0,265.0,185.0,0.0
Alabama,1,0.0,0.0,,20.0,46.0,0.0,111.0,212.0,227.0,289.0,0.0
Alaska,2,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0
Alaska,3,0.0,0.0,,0.0,,0.0,,,,0.0,0.0
Arizona,4,,11.0,40.0,77.0,168.0,,356.0,485.0,574.0,426.0,0.0
Arizona,5,0.0,,20.0,38.0,72.0,0.0,214.0,326.0,417.0,478.0,0.0
Arkansas,6,0.0,,,,28.0,0.0,59.0,61.0,80.0,50.0,0.0
Arkansas,7,0.0,,,,12.0,0.0,27.0,34.0,58.0,95.0,0.0
California,8,0.0,,67.0,190.0,457.0,0.0,947.0,1351.0,1284.0,1154.0,
California,9,0.0,,30.0,82.0,182.0,0.0,383.0,695.0,1009.0,1617.0,0.0
Colorado,10,0.0,,,17.0,61.0,0.0,126.0,222.0,273.0,281.0,0.0
Colorado,11,0.0,,,,20.0,0.0,43.0,120.0,209.0,364.0,0.0
Connecticut,12,0.0,,,19.0,71.0,0.0,224.0,447.0,557.0,701.0,0.0
Connecticut,13,0.0,,,,26.0,0.0,121.0,280.0,555.0,1203.0,0.0
Delaware,14,0.0,,,,10.0,0.0,30.0,69.0,70.0,64.0,0.0
Delaware,15,0.0,,,,15.0,0.0,22.0,42.0,68.0,129.0,0.0
District of Columbia,16,0.0,0.0,,18.0,41.0,0.0,77.0,122.0,83.0,57.0,
District of Columbia,17,0.0,,,,21.0,0.0,47.0,65.0,60.0,84.0,0.0
Florida,18,0.0,,27.0,103.0,210.0,,476.0,883.0,1135.0,996.0,0.0
Florida,19,0.0,,18.0,50.0,97.0,,250.0,567.0,877.0,1286.0,0.0
Georgia,20,0.0,,25.0,35.0,125.0,0.0,275.0,464.0,487.0,317.0,
Georgia,21,0.0,,13.0,33.0,72.0,0.0,177.0,313.0,419.0,522.0,0.0
Hawaii,22,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Hawaii,23,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0
Idaho,24,0.0,0.0,0.0,,,0.0,,17.0,43.0,36.0,0.0
Idaho,25,0.0,0.0,0.0,,,0.0,,17.0,26.0,48.0,0.0
Illinois,26,0.0,,42.0,122.0,293.0,,590.0,968.0,990.0,807.0,
Illinois,27,0.0,,19.0,45.0,115.0,0.0,306.0,543.0,762.0,1353.0,
Indiana,28,,,10.0,15.0,50.0,0.0,179.0,392.0,418.0,401.0,0.0
Indiana,29,0.0,,,15.0,34.0,0.0,103.0,227.0,419.0,643.0,0.0
Iowa,30,0.0,0.0,,,27.0,0.0,76.0,117.0,112.0,140.0,0.0
Iowa,31,0.0,,,,10.0,0.0,45.0,78.0,103.0,172.0,
Kansas,32,0.0,,,,14.0,0.0,38.0,46.0,56.0,50.0,0.0
Kansas,33,0.0,,,,,0.0,18.0,26.0,34.0,84.0,0.0
Kentucky,34,0.0,0.0,,11.0,17.0,0.0,45.0,106.0,80.0,78.0,0.0
Kentucky,35,0.0,0.0,,,12.0,0.0,36.0,59.0,102.0,196.0,0.0
Louisiana,36,,,11.0,47.0,124.0,,285.0,468.0,553.0,381.0,0.0
Louisiana,37,0.0,,13.0,38.0,76.0,0.0,212.0,301.0,479.0,544.0,
Maine,38,0.0,0.0,0.0,,,0.0,,17.0,20.0,19.0,0.0
Maine,39,0.0,0.0,0.0,,,0.0,,,22.0,37.0,0.0
Maryland,40,0.0,,27.0,61.0,118.0,0.0,302.0,419.0,551.0,465.0,0.0
Maryland,41,0.0,,,22.0,72.0,0.0,165.0,332.0,494.0,779.0,0.0
Massachusetts,42,0.0,,12.0,30.0,96.0,0.0,334.0,723.0,1124.0,1358.0,0.0
Massachusetts,43,0.0,,,13.0,64.0,0.0,198.0,485.0,1034.0,2388.0,0.0
Michigan,44,0.0,,27.0,58.0,208.0,0.0,436.0,811.0,840.0,655.0,0.0
Michigan,45,0.0,,13.0,34.0,119.0,,279.0,578.0,692.0,1064.0,0.0
Minnesota,46,0.0,,,,27.0,0.0,83.0,149.0,233.0,275.0,0.0
Minnesota,47,0.0,0.0,,,15.0,0.0,42.0,117.0,202.0,447.0,
Mississippi,48,0.0,,,24.0,60.0,0.0,130.0,217.0,220.0,139.0,0.0
Mississippi,49,0.0,,,21.0,58.0,0.0,129.0,163.0,206.0,259.0,0.0
Missouri,50,0.0,0.0,,,28.0,0.0,78.0,145.0,174.0,163.0,0.0
Missouri,51,0.0,,,,16.0,0.0,45.0,102.0,148.0,297.0,0.0
Montana,52,0.0,0.0,0.0,0.0,,0.0,,,10.0,,0.0
Montana,53,0.0,0.0,,0.0,0.0,0.0,,,,13.0,0.0
Nebraska,54,0.0,0.0,,,14.0,0.0,28.0,46.0,43.0,34.0,0.0
Nebraska,55,0.0,0.0,,,,0.0,21.0,26.0,39.0,54.0,0.0
Nevada,56,0.0,,,14.0,56.0,,64.0,133.0,151.0,81.0,0.0
Nevada,57,0.0,0.0,,,18.0,0.0,42.0,80.0,102.0,68.0,0.0
New Hampshire,58,0.0,,0.0,,,0.0,14.0,34.0,63.0,77.0,0.0
New Hampshire,59,0.0,0.0,0.0,0.0,,0.0,,26.0,51.0,120.0,0.0
New Jersey,60,0.0,11.0,73.0,198.0,556.0,0.0,1226.0,1701.0,1918.0,1765.0,0.0
New Jersey,61,,,33.0,66.0,184.0,0.0,563.0,1007.0,1711.0,2976.0,0.0
New Mexico,62,0.0,,16.0,18.0,31.0,0.0,48.0,76.0,59.0,78.0,0.0
New Mexico,63,0.0,0.0,,,18.0,0.0,39.0,46.0,81.0,101.0,0.0
New York,64,0.0,11.0,44.0,124.0,369.0,,905.0,1450.0,1585.0,1516.0,0.0
New York,65,0.0,,19.0,51.0,130.0,0.0,434.0,819.0,1334.0,2587.0,0.0
New York City,66,,23.0,112.0,396.0,985.0,,2213.0,3254.0,3095.0,2101.0,
New York City,67,,10.0,55.0,116.0,391.0,,1053.0,1753.0,2278.0,2724.0,
North Carolina,68,0.0,,,24.0,57.0,0.0,111.0,176.0,223.0,181.0,0.0
North Carolina,69,0.0,0.0,,,31.0,0.0,49.0,125.0,190.0,266.0,0.0
North Dakota,70,0.0,0.0,0.0,,,0.0,12.0,12.0,16.0,23.0,0.0
North Dakota,71,0.0,0.0,0.0,0.0,,0.0,,,20.0,29.0,0.0
Ohio,72,0.0,,,26.0,62.0,0.0,202.0,402.0,450.0,435.0,0.0
Ohio,73,0.0,,,10.0,29.0,0.0,106.0,227.0,436.0,651.0,0.0
Oklahoma,74,0.0,,,,12.0,0.0,45.0,78.0,82.0,71.0,
Oklahoma,75,0.0,0.0,,,,,31.0,64.0,53.0,88.0,0.0
Oregon,76,0.0,0.0,,,10.0,0.0,24.0,46.0,48.0,50.0,0.0
Oregon,77,0.0,0.0,,,,0.0,12.0,25.0,35.0,63.0,0.0
Pennsylvania,78,0.0,,18.0,41.0,163.0,0.0,434.0,791.0,1034.0,1180.0,0.0
Pennsylvania,79,0.0,,,19.0,70.0,0.0,253.0,553.0,900.0,2067.0,0.0
Puerto Rico,104,0.0,0.0,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Puerto Rico,105,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
Rhode Island,80,0.0,0.0,,,,0.0,49.0,104.0,132.0,147.0,0.0
Rhode Island,81,0.0,0.0,,,,,21.0,76.0,121.0,303.0,0.0
South Carolina,82,0.0,,,25.0,44.0,0.0,119.0,199.0,290.0,182.0,
South Carolina,83,0.0,,,,27.0,0.0,104.0,202.0,219.0,266.0,0.0
South Dakota,84,0.0,0.0,,,,0.0,19.0,11.0,14.0,20.0,0.0
South Dakota,85,0.0,,0.0,0.0,,0.0,10.0,11.0,10.0,32.0,0.0
Tennessee,86,0.0,0.0,,24.0,38.0,0.0,114.0,142.0,194.0,106.0,
Tennessee,87,,0.0,,,24.0,0.0,52.0,105.0,126.0,128.0,0.0
Texas,88,,13.0,89.0,170.0,430.0,,855.0,1227.0,1138.0,796.0,
Texas,89,,10.0,31.0,92.0,198.0,,425.0,713.0,795.0,956.0,0.0
Utah,90,0.0,,,,15.0,0.0,39.0,46.0,55.0,34.0,0.0
Utah,91,0.0,,,,,0.0,12.0,25.0,32.0,42.0,0.0
Vermont,92,0.0,0.0,0.0,,,0.0,,,16.0,,0.0
Vermont,93,0.0,0.0,0.0,,,0.0,0.0,,,10.0,0.0
Virginia,94,0.0,,,20.0,66.0,0.0,170.0,269.0,339.0,299.0,0.0
Virginia,95,0.0,0.0,,16.0,34.0,0.0,88.0,200.0,300.0,517.0,0.0
Washington,96,0.0,,,16.0,38.0,0.0,100.0,172.0,222.0,243.0,0.0
Washington,97,0.0,0.0,,,22.0,0.0,49.0,120.0,182.0,291.0,0.0
West Virginia,98,0.0,0.0,,0.0,,0.0,,18.0,20.0,14.0,0.0
West Virginia,99,0.0,0.0,,0.0,0.0,0.0,,14.0,13.0,27.0,0.0
Wisconsin,100,0.0,,,11.0,35.0,0.0,72.0,128.0,131.0,126.0,0.0
Wisconsin,101,0.0,,,,14.0,0.0,47.0,83.0,112.0,168.0,0.0
Wyoming,102,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Wyoming,103,0.0,0.0,,0.0,,0.0,,,,,0.0
